Dataset,Classifier,Clustering,K,TrainAccuracy,TestAccuracy
pima-indians-diabetes,svmLinear,ap,34,0.796875,0.768229166666667
sonar.all,svmLinear,ap,18,0.857142857142857,0.805825242718447
image-segmentation,svmLinear,ap,53,0.942857142857143,0.916883116883117
ionosphere,svmLinear,ap,28,0.971590909090909,0.931428571428571
spectrometer,svmLinear,ap,28,0.716312056737589,0.530120481927711
statlog-vehicle,svmLinear,ap,25,0.759433962264151,0.703791469194313
optdigits,svmLinear,ap,168,0.997154037709,0.968316126735493
statlog-satimage,svmLinear,ap,72,0.895309102205654,0.891480099502488
pendigits,svmLinear,ap,136,0.995999272595017,0.98871290733661
wine,svmLinear,ap,10,0.966666666666667,0.988636363636364
breast-cancer-wisconsin,svmLinear,ap,24,0.973684210526316,0.982404692082111
yeast,svmLinear,ap,55,0.656375838926174,0.60893098782138
glass,svmLinear,ap,14,0.779816513761468,0.704761904761905
ecoli,svmLinear,ap,14,0.905882352941176,0.825301204819277
vowel-context,svmLinear,ap,47,0.951515151515152,0.894949494949495
iris,svmLinear,ap,6,0.933333333333333,0.88
pima-indians-diabetes,svmLinear,ap,35,0.8125,0.778645833333333
sonar.all,svmLinear,ap,16,0.828571428571429,0.718446601941748
image-segmentation,svmLinear,ap,55,0.946320346320346,0.927272727272727
ionosphere,svmLinear,ap,33,0.982954545454545,0.908571428571429
spectrometer,svmLinear,ap,26,0.723404255319149,0.538152610441767
statlog-vehicle,svmLinear,ap,26,0.778301886792453,0.691943127962085
optdigits,svmLinear,ap,176,0.997154037709,0.971164115343539
statlog-satimage,svmLinear,ap,72,0.899658278968624,0.893967661691542
pendigits,svmLinear,ap,136,0.996908528823422,0.991625705443291
